510;571;333;190143
511;577;325;187525
512;578;330;190740
513;587;323;189601
514;587;333;195471
515;594;329;195426
516;591;338;199758
517;593;334;198062
518;588;343;201684
519;591;339;200349
520;587;345;202515
521;591;345;203895
522;591;346;204486
523;602;336;202272
524;604;343;207172
525;611;341;208351
526;612;345;211140
527;617;344;212248
528;611;359;219349
529;614;356;218584
530;603;362;218286
531;599;356;213244
532;590;357;210630
533;588;350;205800
534;577;356;205412
535;572;353;201916
536;568;340;193120
537;573;330;189090
538;571;333;190143
539;577;325;187525
540;578;330;190740
541;587;323;189601
542;587;333;195471
543;594;329;195426
544;591;338;199758
545;593;334;198062
546;588;343;201684
547;591;339;200349
548;587;345;202515
549;591;345;203895
550;591;346;204486
551;602;336;202272
552;604;343;207172
553;611;341;208351
554;612;345;211140
555;617;344;212248
556;611;359;219349
557;614;356;218584
558;603;362;218286
559;599;356;213244
560;590;357;210630
561;588;350;205800
562;577;356;205412
563;572;353;201916
564;568;340;193120
565;573;330;189090
566;571;333;190143
567;577;325;187525
568;578;330;190740
569;587;323;189601
570;587;333;195471
571;594;329;195426
572;591;338;199758
573;593;334;198062
574;588;343;201684
575;591;339;200349
576;587;345;202515
577;591;345;203895
578;591;346;204486
579;602;336;202272
580;604;343;207172
581;611;341;208351
582;612;345;211140
583;617;344;212248
584;611;359;219349
585;614;356;218584
586;603;362;218286
587;599;356;213244
588;590;357;210630
589;588;350;205800
590;577;356;205412
591;572;353;201916
592;568;340;193120
593;573;330;189090
594;571;333;190143
595;577;325;187525
596;578;330;190740
597;587;323;189601
598;587;333;195471
599;594;329;195426
600;591;338;199758
601;593;334;198062
602;588;343;201684
603;591;339;200349
604;587;345;202515
605;591;345;203895
606;591;346;204486
607;602;336;202272
608;604;343;207172
609;611;341;208351
610;612;345;211140
611;617;344;212248
612;611;359;219349
613;614;356;218584
614;603;362;218286
615;599;356;213244
616;590;357;210630
617;588;350;205800
618;577;356;205412
619;572;353;201916
620;568;340;193120
621;573;330;189090
622;571;333;190143
623;577;325;187525
624;578;330;190740
625;587;323;189601
626;587;333;195471
627;594;329;195426
628;591;338;199758
629;593;334;198062
630;588;343;201684
631;591;339;200349
632;587;345;202515
633;591;345;203895
634;591;346;204486
635;602;336;202272
636;604;343;207172
637;611;341;208351
638;612;345;211140
639;617;344;212248
640;611;359;219349
641;614;356;218584
642;603;362;218286
643;599;356;213244
644;590;357;210630
645;588;350;205800
646;577;356;205412
647;572;353;201916
648;568;340;193120
649;573;330;189090
650;571;333;190143
651;577;325;187525
652;578;330;190740
653;587;323;189601
654;587;333;195471
655;594;329;195426
656;591;338;199758
657;593;334;198062
658;588;343;201684
659;591;339;200349
660;587;345;202515
661;591;345;203895
662;591;346;204486
663;602;336;202272
664;604;343;207172
665;611;341;208351
666;612;345;211140
667;617;344;212248
668;611;359;219349
669;614;356;218584
670;603;362;218286
671;599;356;213244
672;590;357;210630
673;588;350;205800
674;577;356;205412
675;572;353;201916
676;568;340;193120
677;573;330;189090
